lote_id,status_raw,turno,tem_obs,classe
LG-2026-ML0001,APROVADO,MANHA,1,válido_automático
LG-2026-ML0002,OK,MANHA,0,válido_automático
LG-2026-ML0003,PENDENTE,MANHA,0,revisar
LG-2026-ML0004,EM ANALISE,MANHA,1,revisar
LG-2026-ML0005,AJUSTE LINHA,MANHA,1,revisar
LG-2026-ML0006,ESPECIFICACAO EM REVISAO,MANHA,0,revisar
LG-2026-ML0007,REPROVADO,MANHA,0,revisar
LG-2026-ML0008,NOK,MANHA,1,recusar_automático
LG-2026-ML0009,STATUS LIVRE,MANHA,1,revisar
LG-2026-ML0010,APROVADO,TARDE,0,válido_automático
LG-2026-ML0011,OK,TARDE,0,válido_automático
LG-2026-ML0012,PENDENTE,TARDE,1,revisar
LG-2026-ML0013,EM ANALISE,TARDE,1,revisar
LG-2026-ML0014,AJUSTE LINHA,TARDE,0,revisar
LG-2026-ML0015,ESPECIFICACAO EM REVISAO,TARDE,0,revisar
LG-2026-ML0016,REPROVADO,TARDE,1,recusar_automático
LG-2026-ML0017,NOK,TARDE,1,recusar_automático
LG-2026-ML0018,STATUS LIVRE,TARDE,0,revisar
LG-2026-ML0019,APROVADO,NOITE,0,válido_automático
LG-2026-ML0020,OK,NOITE,1,válido_automático
LG-2026-ML0021,PENDENTE,NOITE,1,revisar
LG-2026-ML0022,EM ANALISE,NOITE,0,revisar
LG-2026-ML0023,AJUSTE LINHA,NOITE,0,revisar
LG-2026-ML0024,ESPECIFICACAO EM REVISAO,NOITE,1,revisar
LG-2026-ML0025,REPROVADO,NOITE,1,recusar_automático
LG-2026-ML0026,NOK,NOITE,0,revisar
LG-2026-ML0027,STATUS LIVRE,NOITE,0,revisar
LG-2026-ML0028,APROVADO,MANHA,1,válido_automático
LG-2026-ML0029,OK,MANHA,1,válido_automático
LG-2026-ML0030,PENDENTE,MANHA,0,revisar
LG-2026-ML0031,EM ANALISE,MANHA,0,revisar
LG-2026-ML0032,AJUSTE LINHA,MANHA,1,revisar
LG-2026-ML0033,ESPECIFICACAO EM REVISAO,MANHA,1,revisar
LG-2026-ML0034,REPROVADO,MANHA,0,revisar
LG-2026-ML0035,NOK,MANHA,0,revisar
LG-2026-ML0036,STATUS LIVRE,MANHA,1,revisar
LG-2026-ML0037,APROVADO,TARDE,1,válido_automático
LG-2026-ML0038,OK,TARDE,0,válido_automático
LG-2026-ML0039,PENDENTE,TARDE,0,revisar
LG-2026-ML0040,EM ANALISE,TARDE,1,revisar
LG-2026-ML0041,AJUSTE LINHA,TARDE,1,revisar
LG-2026-ML0042,ESPECIFICACAO EM REVISAO,TARDE,0,revisar
LG-2026-ML0043,REPROVADO,TARDE,0,revisar
LG-2026-ML0044,NOK,TARDE,1,recusar_automático
LG-2026-ML0045,STATUS LIVRE,TARDE,1,revisar
LG-2026-ML0046,APROVADO,NOITE,0,válido_automático
LG-2026-ML0047,OK,NOITE,0,válido_automático
LG-2026-ML0048,PENDENTE,NOITE,1,revisar
LG-2026-ML0049,EM ANALISE,NOITE,1,revisar
LG-2026-ML0050,AJUSTE LINHA,NOITE,0,revisar
LG-2026-ML0051,ESPECIFICACAO EM REVISAO,NOITE,0,revisar
LG-2026-ML0052,REPROVADO,NOITE,1,recusar_automático
LG-2026-ML0053,NOK,NOITE,1,recusar_automático
LG-2026-ML0054,STATUS LIVRE,NOITE,0,revisar
LG-2026-ML0055,APROVADO,MANHA,0,válido_automático
LG-2026-ML0056,OK,MANHA,1,válido_automático
LG-2026-ML0057,PENDENTE,MANHA,1,revisar
LG-2026-ML0058,EM ANALISE,MANHA,0,revisar
LG-2026-ML0059,AJUSTE LINHA,MANHA,0,revisar
LG-2026-ML0060,ESPECIFICACAO EM REVISAO,MANHA,1,revisar
LG-2026-ML0061,REPROVADO,MANHA,1,recusar_automático
LG-2026-ML0062,NOK,MANHA,0,revisar
LG-2026-ML0063,STATUS LIVRE,MANHA,0,revisar
LG-2026-ML0064,APROVADO,TARDE,1,válido_automático
LG-2026-ML0065,OK,TARDE,1,válido_automático
LG-2026-ML0066,PENDENTE,TARDE,0,revisar
LG-2026-ML0067,EM ANALISE,TARDE,0,revisar
LG-2026-ML0068,AJUSTE LINHA,TARDE,1,revisar
LG-2026-ML0069,ESPECIFICACAO EM REVISAO,TARDE,1,revisar
LG-2026-ML0070,REPROVADO,TARDE,0,revisar
LG-2026-ML0071,NOK,TARDE,0,revisar
LG-2026-ML0072,STATUS LIVRE,TARDE,1,revisar
LG-2026-ML0073,APROVADO,NOITE,1,válido_automático
LG-2026-ML0074,OK,NOITE,0,válido_automático
LG-2026-ML0075,PENDENTE,NOITE,0,revisar
LG-2026-ML0076,EM ANALISE,NOITE,1,revisar
LG-2026-ML0077,AJUSTE LINHA,NOITE,1,recusar_automático
LG-2026-ML0078,ESPECIFICACAO EM REVISAO,NOITE,0,revisar
LG-2026-ML0079,REPROVADO,NOITE,0,revisar
LG-2026-ML0080,NOK,NOITE,1,recusar_automático
LG-2026-ML0081,STATUS LIVRE,NOITE,1,revisar
LG-2026-ML0082,APROVADO,MANHA,0,válido_automático
LG-2026-ML0083,OK,MANHA,0,válido_automático
LG-2026-ML0084,PENDENTE,MANHA,1,revisar
LG-2026-ML0085,EM ANALISE,MANHA,1,revisar
LG-2026-ML0086,AJUSTE LINHA,MANHA,0,revisar
LG-2026-ML0087,ESPECIFICACAO EM REVISAO,MANHA,0,revisar
LG-2026-ML0088,REPROVADO,MANHA,1,recusar_automático
LG-2026-ML0089,NOK,MANHA,1,recusar_automático
LG-2026-ML0090,STATUS LIVRE,MANHA,0,revisar
LG-2026-ML0091,APROVADO,TARDE,0,válido_automático
LG-2026-ML0092,OK,TARDE,1,válido_automático
LG-2026-ML0093,PENDENTE,TARDE,1,revisar
LG-2026-ML0094,EM ANALISE,TARDE,0,revisar
LG-2026-ML0095,AJUSTE LINHA,TARDE,0,revisar
LG-2026-ML0096,ESPECIFICACAO EM REVISAO,TARDE,1,revisar
LG-2026-ML0097,REPROVADO,TARDE,1,recusar_automático
LG-2026-ML0098,NOK,TARDE,0,revisar
LG-2026-ML0099,STATUS LIVRE,TARDE,0,revisar
LG-2026-ML0100,APROVADO,NOITE,1,válido_automático
LG-2026-ML0101,OK,NOITE,1,válido_automático
LG-2026-ML0102,PENDENTE,NOITE,0,revisar
LG-2026-ML0103,EM ANALISE,NOITE,0,revisar
LG-2026-ML0104,AJUSTE LINHA,NOITE,1,recusar_automático
LG-2026-ML0105,ESPECIFICACAO EM REVISAO,NOITE,1,revisar
LG-2026-ML0106,REPROVADO,NOITE,0,revisar
LG-2026-ML0107,NOK,NOITE,0,revisar
LG-2026-ML0108,STATUS LIVRE,NOITE,1,revisar
LG-2026-ML0109,APROVADO,MANHA,1,válido_automático
LG-2026-ML0110,OK,MANHA,0,válido_automático
LG-2026-ML0111,PENDENTE,MANHA,0,revisar
LG-2026-ML0112,EM ANALISE,MANHA,1,revisar
LG-2026-ML0113,AJUSTE LINHA,MANHA,1,revisar
LG-2026-ML0114,ESPECIFICACAO EM REVISAO,MANHA,0,revisar
LG-2026-ML0115,REPROVADO,MANHA,0,revisar
LG-2026-ML0116,NOK,MANHA,1,recusar_automático
LG-2026-ML0117,STATUS LIVRE,MANHA,1,revisar
LG-2026-ML0118,APROVADO,TARDE,0,válido_automático
LG-2026-ML0119,OK,TARDE,0,válido_automático
LG-2026-ML0120,PENDENTE,TARDE,1,revisar
LG-2026-ML0121,EM ANALISE,TARDE,1,revisar
LG-2026-ML0122,AJUSTE LINHA,TARDE,0,revisar
LG-2026-ML0123,ESPECIFICACAO EM REVISAO,TARDE,0,revisar
LG-2026-ML0124,REPROVADO,TARDE,1,recusar_automático
LG-2026-ML0125,NOK,TARDE,1,recusar_automático
LG-2026-ML0126,STATUS LIVRE,TARDE,0,revisar
LG-2026-ML0127,APROVADO,NOITE,0,válido_automático
LG-2026-ML0128,OK,NOITE,1,válido_automático
LG-2026-ML0129,PENDENTE,NOITE,1,revisar
LG-2026-ML0130,EM ANALISE,NOITE,0,revisar
LG-2026-ML0131,AJUSTE LINHA,NOITE,0,revisar
LG-2026-ML0132,ESPECIFICACAO EM REVISAO,NOITE,1,revisar
LG-2026-ML0133,REPROVADO,NOITE,1,recusar_automático
LG-2026-ML0134,NOK,NOITE,0,revisar
LG-2026-ML0135,STATUS LIVRE,NOITE,0,revisar
LG-2026-ML0136,APROVADO,MANHA,1,válido_automático
LG-2026-ML0137,OK,MANHA,1,válido_automático
LG-2026-ML0138,PENDENTE,MANHA,0,revisar
LG-2026-ML0139,EM ANALISE,MANHA,0,revisar
LG-2026-ML0140,AJUSTE LINHA,MANHA,1,revisar
LG-2026-ML0141,ESPECIFICACAO EM REVISAO,MANHA,1,revisar
LG-2026-ML0142,REPROVADO,MANHA,0,revisar
LG-2026-ML0143,NOK,MANHA,0,revisar
LG-2026-ML0144,STATUS LIVRE,MANHA,1,revisar
LG-2026-ML0145,APROVADO,TARDE,1,válido_automático
LG-2026-ML0146,OK,TARDE,0,válido_automático
LG-2026-ML0147,PENDENTE,TARDE,0,revisar
LG-2026-ML0148,EM ANALISE,TARDE,1,revisar
LG-2026-ML0149,AJUSTE LINHA,TARDE,1,revisar
LG-2026-ML0150,ESPECIFICACAO EM REVISAO,TARDE,0,revisar
LG-2026-ML0151,REPROVADO,TARDE,0,revisar
LG-2026-ML0152,NOK,TARDE,1,recusar_automático
LG-2026-ML0153,STATUS LIVRE,TARDE,1,revisar
LG-2026-ML0154,APROVADO,NOITE,0,válido_automático
LG-2026-ML0155,OK,NOITE,0,válido_automático
LG-2026-ML0156,PENDENTE,NOITE,1,revisar
LG-2026-ML0157,EM ANALISE,NOITE,1,revisar
LG-2026-ML0158,AJUSTE LINHA,NOITE,0,revisar
LG-2026-ML0159,ESPECIFICACAO EM REVISAO,NOITE,0,revisar
LG-2026-ML0160,REPROVADO,NOITE,1,recusar_automático
LG-2026-ML0161,NOK,NOITE,1,recusar_automático
LG-2026-ML0162,STATUS LIVRE,NOITE,0,revisar
LG-2026-ML0163,APROVADO,MANHA,0,válido_automático
LG-2026-ML0164,OK,MANHA,1,válido_automático
LG-2026-ML0165,PENDENTE,MANHA,1,revisar
LG-2026-ML0166,EM ANALISE,MANHA,0,revisar
LG-2026-ML0167,AJUSTE LINHA,MANHA,0,revisar
LG-2026-ML0168,ESPECIFICACAO EM REVISAO,MANHA,1,revisar
LG-2026-ML0169,REPROVADO,MANHA,1,recusar_automático
LG-2026-ML0170,NOK,MANHA,0,revisar
LG-2026-ML0171,STATUS LIVRE,MANHA,0,revisar
LG-2026-ML0172,APROVADO,TARDE,1,válido_automático
LG-2026-ML0173,OK,TARDE,1,válido_automático
LG-2026-ML0174,PENDENTE,TARDE,0,revisar
LG-2026-ML0175,EM ANALISE,TARDE,0,revisar
LG-2026-ML0176,AJUSTE LINHA,TARDE,1,revisar
LG-2026-ML0177,ESPECIFICACAO EM REVISAO,TARDE,1,revisar
LG-2026-ML0178,REPROVADO,TARDE,0,revisar
LG-2026-ML0179,NOK,TARDE,0,revisar
LG-2026-ML0180,STATUS LIVRE,TARDE,1,revisar
LG-2026-ML0181,APROVADO,NOITE,1,válido_automático
LG-2026-ML0182,OK,NOITE,0,válido_automático
LG-2026-ML0183,PENDENTE,NOITE,0,revisar
LG-2026-ML0184,EM ANALISE,NOITE,1,revisar
LG-2026-ML0185,AJUSTE LINHA,NOITE,1,recusar_automático
LG-2026-ML0186,ESPECIFICACAO EM REVISAO,NOITE,0,revisar
LG-2026-ML0187,REPROVADO,NOITE,0,revisar
LG-2026-ML0188,NOK,NOITE,1,recusar_automático
LG-2026-ML0189,STATUS LIVRE,NOITE,1,revisar
LG-2026-ML0190,APROVADO,MANHA,0,válido_automático
LG-2026-ML0191,OK,MANHA,0,válido_automático
LG-2026-ML0192,PENDENTE,MANHA,1,revisar
LG-2026-ML0193,EM ANALISE,MANHA,1,revisar
LG-2026-ML0194,AJUSTE LINHA,MANHA,0,revisar
LG-2026-ML0195,ESPECIFICACAO EM REVISAO,MANHA,0,revisar
LG-2026-ML0196,REPROVADO,MANHA,1,recusar_automático
LG-2026-ML0197,NOK,MANHA,1,recusar_automático
LG-2026-ML0198,STATUS LIVRE,MANHA,0,revisar
LG-2026-ML0199,APROVADO,TARDE,0,válido_automático
LG-2026-ML0200,OK,TARDE,1,válido_automático
LG-2026-ML0201,PENDENTE,TARDE,1,revisar
LG-2026-ML0202,EM ANALISE,TARDE,0,revisar
LG-2026-ML0203,AJUSTE LINHA,TARDE,0,revisar
LG-2026-ML0204,ESPECIFICACAO EM REVISAO,TARDE,1,revisar
LG-2026-ML0205,REPROVADO,TARDE,1,recusar_automático
LG-2026-ML0206,NOK,TARDE,0,revisar
LG-2026-ML0207,STATUS LIVRE,TARDE,0,revisar
LG-2026-ML0208,APROVADO,NOITE,1,válido_automático
LG-2026-ML0209,OK,NOITE,1,válido_automático
LG-2026-ML0210,PENDENTE,NOITE,0,revisar
LG-2026-ML0211,EM ANALISE,NOITE,0,revisar
LG-2026-ML0212,AJUSTE LINHA,NOITE,1,recusar_automático
LG-2026-ML0213,ESPECIFICACAO EM REVISAO,NOITE,1,revisar
LG-2026-ML0214,REPROVADO,NOITE,0,revisar
LG-2026-ML0215,NOK,NOITE,0,revisar
LG-2026-ML0216,STATUS LIVRE,NOITE,1,revisar
LG-2026-ML0217,APROVADO,MANHA,1,válido_automático
LG-2026-ML0218,OK,MANHA,0,válido_automático
LG-2026-ML0219,PENDENTE,MANHA,0,revisar
LG-2026-ML0220,EM ANALISE,MANHA,1,revisar
LG-2026-ML0221,AJUSTE LINHA,MANHA,1,revisar
LG-2026-ML0222,ESPECIFICACAO EM REVISAO,MANHA,0,revisar
LG-2026-ML0223,REPROVADO,MANHA,0,revisar
LG-2026-ML0224,NOK,MANHA,1,recusar_automático
LG-2026-ML0225,STATUS LIVRE,MANHA,1,revisar
LG-2026-ML0226,APROVADO,TARDE,0,válido_automático
LG-2026-ML0227,OK,TARDE,0,válido_automático
LG-2026-ML0228,PENDENTE,TARDE,1,revisar
LG-2026-ML0229,EM ANALISE,TARDE,1,revisar
LG-2026-ML0230,AJUSTE LINHA,TARDE,0,revisar
LG-2026-ML0231,ESPECIFICACAO EM REVISAO,TARDE,0,revisar
LG-2026-ML0232,REPROVADO,TARDE,1,recusar_automático
LG-2026-ML0233,NOK,TARDE,1,recusar_automático
LG-2026-ML0234,STATUS LIVRE,TARDE,0,revisar
LG-2026-ML0235,APROVADO,NOITE,0,válido_automático
LG-2026-ML0236,OK,NOITE,1,válido_automático
LG-2026-ML0237,PENDENTE,NOITE,1,revisar
LG-2026-ML0238,EM ANALISE,NOITE,0,revisar
LG-2026-ML0239,AJUSTE LINHA,NOITE,0,revisar
LG-2026-ML0240,ESPECIFICACAO EM REVISAO,NOITE,1,revisar
